latitude,longitude,id,name,opening_hours,outdoor_seating,smoking,wheelchair,wheelchair_toilets,url,city,housenumber,postcode,street,website
53.2184612,6.5737987,node/4312638690,Broodjes & zo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53.2134781,6.565453,node/4312638789,Provence,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53.2365967,6.5678409,node/4322756991,oak,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53.2207321,6.5630731,node/4345699266,Spaak,Mo-Fr 08:30-18:00; Sa-Su 09:30-18:00,yes,NA,NA,NA,NA,Groningen,66,9712GN,Oude Boteringestraat,https://spaak.cc/
53.2290769,6.5604249,node/4530606193,Longneck,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53.2296259,6.5590943,node/4530704190,CCG Buurtcafé,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53.2174088,6.5704035,node/4706324111,Café De Zolder,NA,NA,NA,NA,NA,NA,Groningen,3a,9711PA,Papengang,NA
53.21466,6.5652282,node/4827541422,Doppio Espresso,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://www.doppio-espresso.nl
53.2167398,6.5613439,node/4866272422,Nespresso Boutique,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53.2223268,6.5762088,node/4935327522,De Gezonde Planeet,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53.2208707,6.5766445,node/5012413064,Petit Café,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53.2129712,6.5655721,node/5016458125,TOET het toetjesparadijs,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53.1917384,6.552039,node/5079396885,Food & Shop,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53.209634200000004,6.5402341,node/5153852508,Tuinland Groningen Café,NA,NA,NA,NA,NA,NA,Groningen,91,9727AH,Peizerweg,NA
53.2400952,6.5376274,node/5271916305,Energy Academy Europe Take-Away,Mo-Fr 08:30-15:00,NA,NA,yes,yes,NA,NA,NA,NA,NA,NA
53.2184595,6.5743554,node/5312287221,Poeslief,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53.2167683,6.5771021,node/5359251549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53.2401687,6.5310865,node/5564408221,The Coffee Bean Station,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53.2148838,6.5327272,node/5566481130,Brasserie,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53.22002,6.5616158,node/5637099322,Rå økologisk salatbar,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53.2220244,6.5581859,node/5844052986,Chef Serveert,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53.2087221,6.5071963,node/6053099567,Het Suykercafé,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,https://dorpshuishoogkerk.nl/suykercafe/
53.2169718,6.565713,node/6153579887,Lola,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53.2190457,6.5677346,node/6358120854,Poffertjeskraam,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA
53.2158219,6.5597294,node/6702512286,Het pomphuus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53.2404065,6.5345331,node/6745875529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53.2188833,6.5697815,node/7006179956,Stach,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53.2052783,6.5873565,node/7233434667,Coffee corner,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53.2359298,6.5222356,node/7238565385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53.2176136,6.565074,node/7485399330,Food Matterz Cafe,NA,NA,NA,NA,NA,http://www.foodmatterz.nl,Groningen,21,9712CA,Vismarkt,https://www.nelson.nl/winkels/nelson-groningen-premium-299-151
